State,1980
Alabama,3893888
Alaska,401851
Arizona,2718215
Arkansas,2286435
California,23667902
Colorado,2889964
Connecticut,3107576
Delaware,594338
Florida,9746324
Georgia,5463105
Hawaii,964691
Idaho,943935
Illinois,11426518
Indiana,5490224
Iowa,2913808
Kansas,2363679
Kentucky,3660777
Louisiana,4205900
Maine,1124660
Maryland,4216975
Massachusetts,5737037
Michigan,9262078
Minnesota,4075970
Mississippi,2520638
Missouri,4916686
Montana,786690
Nebraska,1569825
Nevada,800493
New Hampshire,920610
New Jersey,7364823
New Mexico,1302894
New York,17558072
North Carolina,5881766
North Dakota,652717
Ohio,10797630
Oklahoma,3025290
Oregon,2633105
Pennsylvania,11863895
Rhode Island,947154
South Carolina,3121820
South Dakota,690768
Tennessee,4591120
Texas,14229191
Utah,1461037
Vermont,511456
Virginia,5346818
Washington,4132156
West Virginia,1949644
Wisconsin,4705767
Wyoming,469557
