house_seat,state,state_seat,priority_value
51,California,2,26404774
52,Texas,2,17867470
53,California,3,15244803
54,New York,2,13732760
55,Florida,2,13364865
56,California,4,10779704
57,Texas,3,10315788
58,Illinois,2,9096490
59,Pennsylvania,2,9004938
60,California,5,8349923
61,Ohio,2,8180161
62,New York,3,7928613
63,Florida,3,7716208
64,Texas,4,7294364
65,Michigan,2,7008578
66,Georgia,2,6878428
67,California,6,6817683
68,North Carolina,2,6764029
69,New Jersey,2,6227844
70,California,7,5761994
71,Virginia,2,5683538
72,Texas,5,5650190
73,New York,4,5606376
74,Florida,4,5456183
75,Illinois,3,5251861
76,Pennsylvania,3,5199003
77,California,8,4990033
78,Washington,2,4775353
79,Ohio,3,4722818
80,Massachusetts,2,4638369
81,Texas,6,4613361
82,Indiana,2,4597313
83,Arizona,2,4534464
84,Tennessee,2,4508110
85,California,9,4400796
86,New York,5,4342680
87,Missouri,2,4250757
88,Florida,5,4226341
89,Maryland,2,4094098
90,Michigan,3,4046404
91,Wisconsin,2,4029257
92,Georgia,3,3971262
93,California,10,3936191
94,North Carolina,3,3905214
95,Texas,7,3899002
96,Minnesota,2,3758187
97,Illinois,4,3713627
98,Pennsylvania,4,3676250
99,New Jersey,3,3595647
100,Colorado,2,3567304
101,California,11,3560419
102,New York,6,3545783
103,Florida,6,3450793
104,Alabama,2,3396221
105,Texas,8,3376634
106,Ohio,4,3339537
107,South Carolina,2,3285200
108,Virginia,3,3281392
109,California,12,3250203
110,Louisiana,2,3220137
111,Kentucky,2,3076343
112,New York,7,2996734
113,California,13,2989752
114,Texas,9,2977912
115,Florida,7,2916453
116,Illinois,5,2876563
117,Michigan,4,2861240
118,Pennsylvania,5,2847611
119,Georgia,4,2808106
120,California,14,2767972
121,North Carolina,4,2761403
122,Washington,3,2757051
123,Oregon,2,2721375
124,Massachusetts,3,2677963
125,Texas,10,2663525
126,Oklahoma,2,2662174
127,Indiana,3,2654260
128,Arizona,3,2617974
129,Tennessee,3,2602759
130,New York,8,2595248
131,Ohio,5,2586794
132,California,15,2576842
133,New Jersey,4,2542507
134,Connecticut,2,2532593
135,Florida,8,2525722
136,Missouri,3,2454176
137,California,16,2410415
138,Texas,11,2409249
139,Maryland,3,2363729
140,Illinois,6,2348704
141,Wisconsin,3,2326293
142,Pennsylvania,6,2325065
143,Virginia,4,2320295
144,New York,9,2288793
145,California,17,2264191
146,Florida,9,2227477
147,Michigan,5,2216307
148,Texas,12,2199333
149,Georgia,5,2175150
150,Minnesota,3,2169790
151,Iowa,2,2159353
152,North Carolina,5,2138974
153,California,18,2134699
154,Ohio,6,2112109
155,Mississippi,2,2105934
156,Arkansas,2,2069156
157,Colorado,3,2059584
158,New York,10,2047159
159,Kansas,2,2025022
160,Texas,13,2023093
161,California,19,2019224
162,Florida,10,1992316
163,Illinois,7,1985017
164,New Jersey,5,1969417
165,Pennsylvania,7,1965039
166,Alabama,3,1960809
167,Utah,2,1959227
168,Washington,4,1949530
169,Nevada,2,1915858
170,California,20,1915604
171,South Carolina,3,1896711
172,Massachusetts,4,1893606
173,Indiana,4,1876845
174,Texas,14,1873020
175,Louisiana,3,1859147
176,New York,11,1851725
177,Arizona,4,1851187
178,Tennessee,4,1840428
179,California,21,1822102
180,Michigan,6,1809607
181,Florida,11,1802118
182,Virginia,5,1797292
